#Wavelength (nm)	Absorption Cross Section (cm^2*molecules^-1)
214.11	7.914563141221289733e-19
214.12	7.929951656320980475e-19
214.13	7.944946837972660061e-19
214.14	7.959517677592869833e-19
214.15	7.973633356227619908e-19
214.16	7.987263416471210331e-19
214.17	8.000378206838440110e-19
214.18	8.012949587215689811e-19
214.19	8.024951869609140137e-19
214.20	8.036362955013629935e-19
214.21	8.047165615405819599e-19
214.22	8.057348860118930091e-19
214.23	8.066909318599709774e-19
214.24	8.075852567110660360e-19
214.25	8.084194325533499672e-19
214.26	8.091961452156920464e-19
214.27	8.099192669172619943e-19
214.28	8.105938959416669949e-19
214.29	8.112263585426710266e-19
214.30	8.118241694773049520e-19
214.31	8.123959490412220189e-19
214.32	8.129512960968889553e-19
214.33	8.135006182786210398e-19
214.34	8.140549222667069889e-19
214.35	8.146255686816920318e-19
214.36	8.152239976959079682e-19
214.37	8.158614328325750100e-19
214.38	8.165485715685009788e-19
214.39	8.172952722273120286e-19
214.40	8.181102472087370272e-19
214.41	8.190007728180219658e-19
214.42	8.199724258228889948e-19
214.43	8.210288563706959922e-19
214.44	8.221716060548720479e-19
214.45	8.233999787499530409e-19
214.46	8.247109703718460405e-19
214.47	8.260992620097329749e-19
214.48	8.275572789714019859e-19
214.49	8.290753162465339563e-19
214.50	8.306417287893160469e-19
214.51	8.322431829222499844e-19
214.52	8.338649631382209540e-19
214.53	8.354913266965080283e-19
214.54	8.371058967354470430e-19
214.55	8.386920832188219624e-19
214.56	8.402335199445890193e-19
214.57	8.417145051142480011e-19
214.58	8.431204326171430159e-19
214.59	8.444382012427219968e-19
214.60	8.456565894984759540e-19
214.61	8.467665845709939830e-19
214.62	8.477616551995880018e-19
214.63	8.486379597997359866e-19
214.64	8.493944830303799943e-19
214.65	8.500330960881680034e-19
214.66	8.505585382677110397e-19
214.67	8.509783196798089897e-19
214.68	8.513025473949380414e-19
214.69	8.515436796017530231e-19
214.70	8.517162145663849940e-19
214.71	8.518363231774530214e-19
214.72	8.519214355999299990e-19
214.73	8.519897939827849918e-19
214.74	8.520599842238389944e-19
214.75	8.521504604571380017e-19
214.76	8.522790761702419794e-19
214.77	8.524626356736230027e-19
214.78	8.527164790358640291e-19
214.79	8.530541125854569912e-19
214.80	8.534868956935430150e-19
214.81	8.540237928349779611e-19
214.82	8.546711979306409738e-19
214.83	8.554328357644810310e-19
214.84	8.563097429123809529e-19
214.85	8.573003281903470086e-19
214.86	8.584005102018390203e-19
214.87	8.596039272133119955e-19
214.88	8.609022123863280298e-19
214.89	8.622853254110230391e-19
214.90	8.637419298806220051e-19
214.91	8.652598043718040150e-19
214.92	8.668262741927080240e-19
214.93	8.684286501592260010e-19
214.94	8.700546605783580044e-19
214.95	8.716928628593570629e-19
214.96	8.733330218305770011e-19
214.97	8.749664428912170592e-19
214.98	8.765862495392299188e-19
214.99	8.781875965455979733e-19
215.00	8.797678120376610153e-19
215.01	8.813264639487510322e-19
215.02	8.828653486215610786e-19
215.03	8.843884017473400879e-19
215.04	8.859015342105319170e-19
215.05	8.874123977167619278e-19
215.06	8.889300872430090224e-19
215.07	8.904647892981100482e-19
215.08	8.920273866624919596e-19
215.09	8.936290316393940865e-19
215.10	8.952807008567119076e-19
215.11	8.969927452807640486e-19
215.12	8.987744493237899135e-19
215.13	9.006336127411069263e-19
215.14	9.025761684282609884e-19
215.15	9.046058482618820250e-19
215.16	9.067239078094800647e-19
215.17	9.089289191022590222e-19
215.18	9.112166387691429961e-19
215.19	9.135799567243229833e-19
215.20	9.160089283453040036e-19
215.21	9.184908907376710500e-19
215.22	9.210106613225329676e-19
215.23	9.235508146685409542e-19
215.24	9.260920312865340403e-19
215.25	9.286135100713409246e-19
215.26	9.310934342669899608e-19
215.27	9.335094792966560655e-19
215.28	9.358393495774199550e-19
215.29	9.380613305634700448e-19
